Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	Object ID	Object type	Classification	condition	fly_section_ID	fly_ID	section_ID
84E_1_FITC.tif	PathAnnotationObject		Image	Polygon	444.32	326.31	35.0	35.0	100.0	231.87	150945.5	1487.4				Starved	84_21	84	21
74_2_FITC.tif			Root object (Image)	Polygon	425.39	1599.0	3.0	3.0	100.0	2.947	1018040.7	4865.6	b7b8dea9-88a8-4d82-9573-c926542da7bc	Annotation		Fed	74_2	74	2
74_3_FITC.tif			Root object (Image)	Polygon	425.86	1600.5	4.0	4.0	100.0	3.765	1062398.2	4625.9	1cc05341-b8a7-42db-b92b-cf968db30637	Annotation		Fed	74_3	74	3
78_1_FITC.tif			Root object (Image)	Polygon	470.49	1415.5	6.0	6.0	100.0	7.901	759395.7	4068.2	c5ae0617-73c8-40ae-9ed0-65c7322fcf3a	Annotation		Starved	74_6	74	6
24E_F2_4_FITC.tif	PathAnnotationObject		Image	Polygon	421.95	298.4	74.0	74.0	100.0	325.14	227593.7	2032.8				Fed	25_24	25	24
71_3_FITC.tif			Root object (Image)	Polygon	433.76	1550.3	61.0	61.0	100.0	69.28	880435.0	4120.4	d760b37c-780d-4ee1-9edc-5a40c4d02089	Annotation		Fed	71_3	71	3
24C_F1_2_FITC.tif	PathAnnotationObject		Image	Polygon	436.76	308.32	54.0	54.0	100.0	173.72	310852.8	2229.6				Fed	24_2	24	2
24C_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	440.83	300.61	58.0	58.0	100.0	190.67	304185.7	2382.2				Fed	24_3	24	3
81_14_FITC.tif			Root object (Image)	Polygon	491.55	1621.5	15.0	15.0	100.0	14.77	1015751.0	5031.7	e9ad103d-01d1-48ff-9ccc-e49f170f57d7	Annotation		Starved	81_14	81	14
36E_3_FITC.tif	PathAnnotationObject		Image	Polygon	427.45	324.81	73.0	73.0	100.0	378.64	192797.7	2052.0				Starved	36_23	36	23
88_6_FITC.tif			Root object (Image)	Polygon	398.0	1653.0	97.0	97.0	100.0	76.67	1265175.5	5698.7	c102f13e-298d-44db-ba5a-5f6edfc7d1f3	Annotation		Starved	88_6	88	6
88_7_FITC.tif			Root object (Image)	Polygon	353.38	1823.9	82.0	82.0	100.0	71.98	1139139.2	5823.7	93a782ed-1151-4065-8890-d8f43767c976	Annotation		Starved	88_7	88	7
71_8_FITC.tif			Root object (Image)	Polygon	415.42	1541.6	100.0	100.0	100.0	76.87	1300868.9	5279.2	8faf244b-7713-4f94-a32b-bbd1a9baf79b	Annotation		Fed	71_8	71	8
71_9_FITC.tif			Root object (Image)	Polygon	369.84	1570.1	167.0	167.0	100.0	136.52	1223233.4	5158.7	bf2b3d38-a04f-49b8-88f9-70ebc66e69fc	Annotation		Fed	71_9	71	9
60E_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.53	338.51	74.0	74.0	100.0	258.8	285934.8	2316.0				Fed	60_21	60	21
60D_5_FITC.tif	PathAnnotationObject		Image	Polygon	393.61	357.75	37.0	37.0	100.0	185.02	199980.0	1799.1				Fed	60_20	60	20
89_4_FITC.tif			Root object (Image)	Polygon	495.73	1841.5	63.0	63.0	100.0	62.67	1005285.2	4800.5	217a9726-6260-4c24-a345-099cb93408c2	Annotation		Starved	89_4	89	4
89_5_FITC.tif			Root object (Image)	Polygon	432.17	1398.0	47.0	47.0	100.0	61.49	764295.1	3900.4	ecf73eb0-d99c-4316-a1ad-5a23503683d1	Annotation		Starved	89_5	89	5
