Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition
84E_1_FITC.tif	PathAnnotationObject		Image	Polygon	444.32	326.31	35.0	35.0	100.0	231.87	150945.5	1487.4	Starved
90F_3_FITC.tif	PathAnnotationObject		Image	Polygon	396.97	293.19	42.0	42.0	100.0	953.02	44070.3	875.94	Starved
84C_4_FITC.tif	PathAnnotationObject		Image	Polygon	424.02	289.54	44.0	44.0	100.0	312.4	140846.7	1437.6	Starved
84C_5_FITC.tif	PathAnnotationObject		Image	Polygon	394.15	330.4	46.0	46.0	100.0	298.87	153911.4	1515.2	Starved
85F_3_FITC.tif	PathAnnotationObject		Image	Polygon	490.59	284.19	99.0	99.0	100.0	642.22	154152.8	1541.4	Starved
85F_4_FITC.tif	PathAnnotationObject		Image	Polygon	443.74	293.58	71.0	71.0	100.0	559.97	126792.9	1456.6	Starved
72C_1_FITC.tif	PathAnnotationObject		Image	Polygon	448.25	305.68	27.0	27.0	100.0	114.82	235142.2	1882.1	Fed
72B_5_FITC.tif	PathAnnotationObject		Image	Polygon	446.67	298.54	25.0	25.0	100.0	117.34	213047.8	1793.7	Fed
90E_3_FITC.tif	PathAnnotationObject		Image	Polygon	446.73	302.13	45.0	45.0	100.0	472.94	95149.5	1247.7	Starved
90E_2_FITC.tif	PathAnnotationObject		Image	Polygon	442.77	309.52	46.0	46.0	100.0	419.54	109643.8	1445.5	Starved
86E_5_FITC.tif	PathAnnotationObject		Image	Polygon	469.56	355.03	105.0	105.0	100.0	829.29	126615.0	1408.0	Starved
86E_4_FITC.tif	PathAnnotationObject		Image	Polygon	430.29	362.82	145.0	145.0	100.0	1086.2	133491.1	1436.6	Starved
73C_3_FITC.tif	PathAnnotationObject		Image	Polygon	421.52	322.16	39.0	39.0	100.0	230.44	169242.8	1686.1	Fed
73C_2_FITC.tif	PathAnnotationObject		Image	Polygon	471.52	329.47	11.0	11.0	100.0	68.34	160969.2	1656.3	Fed
72B_1_FITC.tif	PathAnnotationObject		Image	Polygon	438.2	304.63	24.0	24.0	100.0	122.89	195289.1	1674.9	Fed
72B_2_FITC.tif	PathAnnotationObject		Image	Polygon	435.01	308.17	20.0	20.0	100.0	98.68	202683.5	1749.5	Fed
85G_5_FITC.tif	PathAnnotationObject		Image	Polygon	496.73	338.88	74.0	74.0	100.0	506.7	146041.6	1459.2	Starved
85G_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.3	258.74	89.0	89.0	100.0	620.58	143414.4	1474.8	Starved
80G_1_FITC.tif	PathAnnotationObject		Image	Polygon	400.02	304.43	9.0	9.0	100.0	63.9	140849.5	1420.6	Starved
73F_4_FITC.tif	PathAnnotationObject		Image	Polygon	419.14	323.83	12.0	12.0	100.0	98.88	121361.1	1423.2	Fed
73F_5_FITC.tif	PathAnnotationObject		Image	Polygon	439.55	307.3	57.0	57.0	100.0	495.34	115072.5	1359.0	Fed
84G_5_FITC.tif	PathAnnotationObject		Image	Polygon	431.26	306.13	30.0	30.0	100.0	572.72	52381.2	961.28	Starved
76C_1_FITC.tif	PathAnnotationObject		Image	Polygon	419.46	300.67	110.0	110.0	100.0	760.78	144588.8	1568.1	Starved
76B_6_FITC.tif	PathAnnotationObject		Image	Polygon	418.68	292.51	77.0	77.0	100.0	514.04	149794.6	1629.0	Starved
75D_3_FITC.tif	PathAnnotationObject		Image	Polygon	399.65	375.68	50.0	50.0	100.0	341.03	146616.2	1541.0	Fed
75D_4_FITC.tif	PathAnnotationObject		Image	Polygon	412.86	320.09	57.0	57.0	100.0	360.29	158207.1	1603.8	Fed
80D_1_FITC.tif	PathAnnotationObject		Image	Polygon	238.2	310.91					96539.5	1162.6	Starved
80D_2_FITC.tif	PathAnnotationObject		Image	Polygon	344.52	309.81					110873.7	1244.8	Starved
75C_3_FITC.tif	PathAnnotationObject		Image	Polygon	478.59	327.34	61.0	61.0	100.0	367.67	165911.6	1599.9	Fed
75C_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.1	353.58	31.0	31.0	100.0	158.21	195942.7	1726.4	Fed
76D_2_FITC.tif	PathAnnotationObject		Image	Polygon	405.24	298.47	65.0	65.0	100.0	715.23	90880.4	1489.4	Starved
76D_1_FITC.tif	PathAnnotationObject		Image	Polygon	412.47	336.02	69.0	69.0	100.0	595.63	115843.2	1575.2	Starved
76A_4_FITC.tif	PathAnnotationObject		Image	Polygon	432.91	288.09	68.0	68.0	100.0	476.22	142790.3	1499.0	Starved
76A_5_FITC.tif	PathAnnotationObject		Image	Polygon	428.22	311.23	98.0	98.0	100.0	624.45	156938.7	1546.7	Starved
75D_2_FITC.tif	PathAnnotationObject		Image	Polygon	381.89	304.3	65.0	65.0	100.0	364.96	178100.8	1640.5	Fed
